Predicted Label,label,flare,timestamp,NOAA,HARP,TOTUSJH,SAVNCPP,ABSNJZH,TOTPOT,TOTUSJZ,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,AREA_ACR,MEANPOT,Mhis1d,SHRGT45,TOTFX,MEANSHR
Negative,Negative,N,2017-09-02T18:58:42.20Z,12673,7115,-0.427227977500333,-0.471091291364085,-0.39486849269401,-0.434801496836178,-0.363178675212817,-0.167762205237008,-0.52795086747111,0,0,0,0,0,0,0,1.87003763708287,0.533917944044978,0,2.05214922500419,0.21258893836261,0.389474452305591
Negative,Negative,N,2017-09-02T19:58:42.20Z,12673,7115,-0.401624005825819,-0.459586834038535,-0.322954981965518,-0.382756738708241,-0.35869759100377,-0.149756553564399,-0.517011784565937,0,0,0,0,0,0,0,1.76797580957442,0.556599257408403,0,2.06651771829704,0.211855054890318,0.378591880169778
Negative,Negative,C1.1,2017-09-02T20:58:42.30Z,12673,7115,-0.383687165755672,-0.444029921203592,-0.178163563678754,-0.360951682267525,-0.405103204918013,-0.142009318692161,-0.493903355713482,0,0,0,0,0,0,0,1.47776194858312,0.535662660457549,0,2.10297263842291,0.230829714947273,0.188006287453915
Negative,Negative,C1.1,2017-09-02T21:58:42.30Z,12673,7115,-0.359110264643324,-0.433218671675783,0.094549888689031,-0.336054201443989,-0.340666561686413,-0.143383752426849,-0.476428898124929,0,0,0,0,0,0,0,1.38592076229359,0.611267038335631,0,2.02382276679828,0.222352332033701,-0.267048135627824
Negative,Negative,C1.1,2017-09-02T22:58:42.30Z,12673,7115,-0.329322226872838,-0.42196118716886,-0.117843025651841,-0.318161613607906,-0.273450298550706,-0.13927921939863,-0.476192118867595,0,0,0,0,0,0,0,1.28484086419396,0.76829151546703,0,2.08704413728683,0.216141757415385,-0.454157810546508
Negative,Negative,C1.1,2017-09-02T23:58:42.30Z,12673,7115,-0.309121842942382,-0.41253138787392,-0.126088410450659,-0.304242675619019,-0.252527341454328,-0.134345870319232,-0.46279085315881,0,0,0,0,0,0,0,1.28985795261278,0.519378640606886,0,2.0611808493597,0.197221967150751,-0.510731749380201
Negative,Negative,C1.1,2017-09-03T00:58:42.40Z,12673,7115,-0.286823443028627,-0.401273471596336,0.007497422702713,-0.272539294825992,-0.230599228877474,-0.126217239302133,-0.451922864409786,0,0,0,0,0,0,0,1.30413643767953,0.635111495974103,0,1.96996144336907,0.198213052774546,-0.565990848571345
Negative,Negative,C1.1,2017-09-03T01:58:42.40Z,12673,7115,-0.266438585259335,-0.395754650957227,0.062078558503025,-0.254699829964784,-0.217217745581535,-0.111697038971638,-0.434055557028899,0,0,0,0,0,0,0,1.32610059565897,0.66302695857524,0,1.99245839858188,0.196148576838474,-0.585699660823387
Negative,Negative,C1.1,2017-09-03T02:58:42.40Z,12673,7115,-0.27504204624028,-0.386798576040209,0.042841073913306,-0.231660062138954,-0.137911539711394,-0.101424479010183,-0.417254207914231,0,0,0,0,0,0,0,1.24568508911645,0.774688808979791,0,2.02702488816069,0.17785293046149,-0.762261675590681
Negative,Negative,C1.1,2017-09-03T03:58:42.40Z,12673,7115,-0.261575456005271,-0.364444585521491,0.080266431777025,-0.200678127273311,-0.100569171302667,-0.086012790327025,-0.398651384575016,0,0,0,0,0,0,0,1.10314428741854,0.908450400610243,0,2.04278917794485,0.183545671414779,-0.775178527928173
